"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","49.0","","","","1"
"1982","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","53.3","","","","1"
"1983","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","56.8","","","","1"
"1984","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","58.9","","","","1"
"1985","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","61.4","","","","1"
"1986","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","64.1","","","","1"
"1987","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","66.8","","","","1"
"1988","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","69.6","","","","1"
"1989","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","72.9","","","","1"
"1990","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","76.2","","","","1"
"1991","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","80.1","","","","1"
"1992","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","81.2","","","","1"
"1993","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","83.4","","","","1"
"1994","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","84.6","","","","1"
"1995","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","86.9","","","","1"
"1996","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","88.8","","","","1"
"1997","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","90.6","","","","1"
"1998","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","91.8","","","","1"
"1999","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","93.6","","","","1"
"2000","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","95.9","","","","1"
"2001","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","98.5","","","","1"
"2002","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","100.0","","","","1"
"2003","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","101.8","","","","1"
"2004","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","103.8","","","","1"
"2005","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","106.6","","","","1"
"2006","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","108.7","","","","1"
"2007","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","110.9","","","","1"
"2008","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","113.4","","","","1"
"2009","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","114.1","","","","1"
"2010","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","115.0","","","","1"
"2011","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","118.4","","","","1"
"2012","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","120.3","","","","1"
"2013","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","123.0","","","","1"
"2014","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","125.3","","","","1"
"2015","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","126.8","","","","1"
"2016","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","128.4","","","","1"
"2017","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","130.5","","","","1"
"2018","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","133.8","","","","1"
"2019","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","136.8","","","","1"
"2020","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","137.5","","","","1"
"2021","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","142.0","","","","1"
"2022","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","153.2","","","","1"
"2023","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41694353","18.2","158.6","","","","1"
"1981","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","53.4","","","","1"
"1982","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","55.9","","","","1"
"1983","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","57.5","","","","1"
"1984","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","59.0","","","","1"
"1985","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","61.1","","","","1"
"1986","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","64.3","","","","1"
"1987","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","66.8","","","","1"
"1988","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","68.7","","","","1"
"1989","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","71.6","","","","1"
"1990","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","75.5","","","","1"
"1991","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","79.1","","","","1"
"1992","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","80.1","","","","1"
"1993","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","83.0","","","","1"
"1994","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","84.0","","","","1"
"1995","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","86.1","","","","1"
"1996","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","87.9","","","","1"
"1997","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","89.8","","","","1"
"1998","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","90.1","","","","1"
"1999","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","91.3","","","","1"
"2000","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","93.7","","","","1"
"2001","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","97.6","","","","1"
"2002","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","100.0","","","","1"
"2003","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","101.5","","","","1"
"2004","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","104.1","","","","1"
"2005","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","106.6","","","","1"
"2006","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","108.9","","","","1"
"2007","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","112.3","","","","1"
"2008","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","116.2","","","","1"
"2009","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","122.4","","","","1"
"2010","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","122.5","","","","1"
"2011","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","127.0","","","","1"
"2012","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","129.8","","","","1"
"2013","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","133.1","","","","1"
"2014","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","136.7","","","","1"
"2015","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.3","","","","1"
"2016","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.7","","","","1"
"2017","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","141.6","","","","1"
"2018","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","143.8","","","","1"
"2019","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","148.0","","","","1"
"2020","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","150.9","","","","1"
"2021","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","153.6","","","","1"
"2022","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","167.3","","","","1"
"2023","Manitoba","2016A000246","Food","2002=100","17","units","0","v41694354","18.3","180.4","","","","1"
"1981","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","49.8","","","","1"
"1982","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","56.1","","","","1"
"1983","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","61.1","","","","1"
"1984","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","64.0","","","","1"
"1985","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","66.8","","","","1"
"1986","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","69.0","","","","1"
"1987","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","71.1","","","","1"
"1988","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","73.1","","","","1"
"1989","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","76.0","","","","1"
"1990","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","79.2","","","","1"
"1991","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","83.7","","","","1"
"1992","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","85.0","","","","1"
"1993","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","85.7","","","","1"
"1994","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","87.3","","","","1"
"1995","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","89.3","","","","1"
"1996","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","89.9","","","","1"
"1997","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","91.1","","","","1"
"1998","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","92.5","","","","1"
"1999","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","94.2","","","","1"
"2000","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","96.8","","","","1"
"2001","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","100.5","","","","1"
"2002","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","100.0","","","","1"
"2003","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","101.9","","","","1"
"2004","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","104.0","","","","1"
"2005","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","107.9","","","","1"
"2006","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","111.1","","","","1"
"2007","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","115.3","","","","1"
"2008","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","120.3","","","","1"
"2009","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","122.2","","","","1"
"2010","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","121.9","","","","1"
"2011","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","125.1","","","","1"
"2012","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","127.5","","","","1"
"2013","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","131.5","","","","1"
"2014","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","135.4","","","","1"
"2015","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","137.8","","","","1"
"2016","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","140.6","","","","1"
"2017","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","144.4","","","","1"
"2018","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","148.8","","","","1"
"2019","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","153.5","","","","1"
"2020","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","156.1","","","","1"
"2021","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","163.3","","","","1"
"2022","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","175.7","","","","1"
"2023","Manitoba","2016A000246","Shelter","2002=100","17","units","0","v41694386","18.79","184.6","","","","1"
"1981","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","54.4","","","","1"
"1982","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","59.0","","","","1"
"1983","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","62.5","","","","1"
"1984","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","63.5","","","","1"
"1985","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","65.4","","","","1"
"1986","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","67.4","","","","1"
"1987","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","70.5","","","","1"
"1988","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","74.2","","","","1"
"1989","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","77.4","","","","1"
"1990","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","79.2","","","","1"
"1991","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","82.4","","","","1"
"1992","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","83.6","","","","1"
"1993","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","84.8","","","","1"
"1994","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","84.2","","","","1"
"1995","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","84.8","","","","1"
"1996","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","87.0","","","","1"
"1997","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","88.1","","","","1"
"1998","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","89.9","","","","1"
"1999","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","91.6","","","","1"
"2000","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","92.9","","","","1"
"2001","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","97.5","","","","1"
"2002","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","100.0","","","","1"
"2003","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","101.1","","","","1"
"2004","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","102.3","","","","1"
"2005","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","103.2","","","","1"
"2006","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","103.6","","","","1"
"2007","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","103.8","","","","1"
"2008","Manitoba","2016A000246","Household operations, furnishings and equipment","2002=100","17","units","0","v41694399","18.96","104.6","","","","1"
